company_key,Company Name,Company Website,Company LinkedIn,Company Industry,Company Country,lead_count
lucid.co,Lucid Software,lucid.co,https://www.linkedin.com/company/lucidsoftware,software development,United States,7
tcn.com,TCN,tcn.com,https://www.linkedin.com/company/tcn-inc,software development,United States,1
advancelocal.com,Advance Local,advancelocal.com,https://www.linkedin.com/company/advance-local,media production,United States,2
icanotes.com,ICANotes LLC,icanotes.com,https://www.linkedin.com/company/icanotes-llc,mental health care,United States,1
ncsu.edu,NC State Poole College of Management,ncsu.edu,https://www.linkedin.com/school/nc-state-university-poole-college-of-management,higher education,United States,2
tufin.com,Tufin,tufin.com,https://www.linkedin.com/company/tufin-technologies,computer and network security,United States,3
witness.ai,WitnessAI,witness.ai,https://www.linkedin.com/company/witnessai,computer and network security,United States,3
aurasell.ai,Aurasell AI,https://www.aurasell.ai,https://www.linkedin.com/company/aurasell,software development,United States,2
investcloud.com,"InvestCloud, Inc.",investcloud.com,https://www.linkedin.com/company/investcloud,financial services,United States,3
fosterfarms.com,Foster Farms,fosterfarms.com,https://www.linkedin.com/company/foster-farms,food and beverage manufacturing,United States,2
emed.com,eMed,emed.com,https://www.linkedin.com/company/emeddigitalhealthcare,government administration,United States,1
calabrio.com,Calabrio,calabrio.com,https://www.linkedin.com/company/calabrio,software development,United States,3
comparenetworks.com,"CompareNetworks, Inc.",comparenetworks.com,https://www.linkedin.com/company/comparenetworks,online audio and video media,United States,1
justworks.com,Justworks,justworks.com,https://www.linkedin.com/company/justworks-,human resources services,United States,6
itrustcapital.com,iTrustCapital - Official Page,itrustcapital.com,https://www.linkedin.com/company/itrustcapital00,software development,United States,1
inktavo.com,Inktavo,inktavo.com,https://www.linkedin.com/company/we-are-inktavo,software development,United States,2
seretail.com,SE Retail,seretail.com,https://www.linkedin.com/company/se-retail-inc,retail,United States,1
suralink.com,Suralink,suralink.com,https://www.linkedin.com/company/suralink,accounting,United States,2
quickbase.com,Quickbase,quickbase.com,https://www.linkedin.com/company/quickbase,software development,United States,3
propelrpay.com,Propelr,propelrpay.com,https://www.linkedin.com/company/propelrpay,financial services,United States,1
railroadconstruction.com,"Railroad Construction Company, Inc.",railroadconstruction.com,https://www.linkedin.com/company/railroad-construction-company-inc,construction,United States,1
whiparound.com,Whip Around,whiparound.com,https://www.linkedin.com/company/whip-around,software development,United States,1
envoy.com,Envoy,envoy.com,https://www.linkedin.com/company/envoy-inc,software development,United States,1
streeteasy.com,StreetEasy,streeteasy.com,https://www.linkedin.com/company/streeteasy,software development,United States,1
smithrx.com,SmithRx,smithrx.com,https://www.linkedin.com/company/smithrx,hospitals and health care,United States,4
zolldata.com,ZOLL Data Systems,zolldata.com,https://www.linkedin.com/company/zolldata,software development,United States,2
intuscare.com,IntusCare,intuscare.com,https://www.linkedin.com/company/intuscare,hospitals and health care,United States,1
hungerrush.com,HungerRush,hungerrush.com,https://www.linkedin.com/company/hungerrush,software development,United States,1
broadbandhospitality.com,Broadband Hospitality,broadbandhospitality.com,https://www.linkedin.com/company/bbhnow,software development,United States,1
windfall.com,Windfall,windfall.com,https://www.linkedin.com/company/windfall-data,software development,United States,1
clarifyhealth.com,Clarify Health Solutions,clarifyhealth.com,https://www.linkedin.com/company/clarify-health-solutions,software development,United States,1
act-on.com,Act-On Software,act-on.com,https://www.linkedin.com/company/act-on-software,software development,United States,1
brightflag.com,Brightflag,brightflag.com,https://www.linkedin.com/company/brightflag,software development,United States,1
healthstream.com,HealthStream,healthstream.com,https://www.linkedin.com/company/healthstream,software development,United States,1
christiesrealestate.com,Christie's International Real Estate Group - New Jersey,christiesrealestate.com,https://www.linkedin.com/company/christiesnj,real estate,United States,1
practifi.com,Practifi,practifi.com,https://www.linkedin.com/company/practifi,financial services,United States,1
impartner.com,Impartner Software,impartner.com,https://www.linkedin.com/company/impartnersoftware,software development,United States,3
elpaviation.com,AI Crew Solutions,elpaviation.com,https://www.linkedin.com/company/ai-crew-sol,airlines and aviation,United States,1
litify.com,Litify,litify.com,https://www.linkedin.com/company/litify,software development,United States,1
rutgers.edu,Rutgers Business School,rutgers.edu,https://www.linkedin.com/school/rutgers-business-school,higher education,United States,1
hamiltoncompany.com,Hamilton Company,hamiltoncompany.com,https://www.linkedin.com/company/hamilton-company,biotechnology research,United States,1
forcemktg.com,Force Marketing,forcemktg.com,https://www.linkedin.com/company/force-marketing,advertising services,United States,2
endpointclinical.com,Endpoint Clinical,endpointclinical.com,https://www.linkedin.com/company/endpoint_464541,pharmaceutical manufacturing,United States,1
talkdesk.com,Talkdesk,talkdesk.com,https://www.linkedin.com/company/talkdesk,software development,United States,1
openvpn.net,OpenVPN Inc.,openvpn.net,https://www.linkedin.com/company/openvpn,computer and network security,United States,1
boostr.com,boostr,boostr.com,https://www.linkedin.com/company/boostr-inc,software development,United States,1
digitalglobalsystems.com,DGS,digitalglobalsystems.com,https://www.linkedin.com/company/dgs-software,software development,United States,1
litera.com,Litera,litera.com,https://www.linkedin.com/company/literaai,software development,United States,2
pharos.com,Pharos,pharos.com,https://www.linkedin.com/company/pharos-systems-international,software development,United States,1
centrical.com,Centrical,centrical.com,https://www.linkedin.com/company/centrical,software development,United States,1
veriff.com,Veriff,veriff.com,https://www.linkedin.com/company/veriff,software development,United States,2
ermco.com,"ERMCO, Inc.",ermco.com,https://www.linkedin.com/company/ermco-inc,construction,United States,1
citrix.com,Citrix,citrix.com,https://www.linkedin.com/company/citrix,software development,United States,2
cyera.io,Cyera,cyera.io,https://www.linkedin.com/company/cyera,computer and network security,United States,6
skyward.com,Skyward,skyward.com,https://www.linkedin.com/company/skyward,software development,United States,1
sambasafety.com,SambaSafety,sambasafety.com,https://www.linkedin.com/company/sambasafety,software development,United States,1
techimpact.org,Tech Impact,techimpact.org,https://www.linkedin.com/company/tech-impact,non-profit organizations,United States,1
nitrogenwealth.com,Nitrogen,nitrogenwealth.com,https://www.linkedin.com/company/nitrogenwealth,software development,United States,1
limcollege.edu,LIM College,limcollege.edu,https://www.linkedin.com/school/lim-college,higher education,United States,4
shrgroup.com,SHR,shrgroup.com,https://www.linkedin.com/company/shrgroup-hospitality,software development,United States,1
ecianow.org,Electronic Components Industry Association (ECIA),ecianow.org,https://www.linkedin.com/company/electronic-components-industry-association-ecia-,"appliances, electrical, and electronics manufacturing",United States,1
tennr.com,Tennr,tennr.com,https://www.linkedin.com/company/tennrai,software development,United States,4
umpquabank.com,Umpqua Bank,umpquabank.com,https://www.linkedin.com/company/umpqua-bank,banking,United States,1
moengage.com,MoEngage,moengage.com,https://www.linkedin.com/company/moengage,software development,United States,2
